college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
Dhirubhai Ambani University,B.Tech. Information and Communication Technology,ICT,B.Tech.,4,120,,,,2026-27,S009;S010;S011
Dhirubhai Ambani University,B.Tech. (Honours) in ICT with minor in Computational Science,ICT-CS,B.Tech.,4,90,,,,2026-27,S009;S010;S011
Dhirubhai Ambani University,B.Tech. Mathematics and Computing,MnC,B.Tech.,4,90,,,,2026-27,S009;S010;S011
Dhirubhai Ambani University,B.Tech. Electronics and VLSI Design,EVD,B.Tech.,4,40,,,,2026-27,S009;S010;S011
Dhirubhai Ambani University,B.Tech. Computer Science and Artificial Intelligence,CS & AI,B.Tech.,4,120,,,,2026-27,S009;S010;S011
Dhirubhai Ambani University,B.Tech. Electronics and Communication Engineering – Artificial Intelligence,ECE-AI,B.Tech.,4,60,,,,2026-27,S009;S010;S011
