college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN,CRL,HS,Female-only (including Supernumerary),49,50,,,CRL,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN,CRL,HS,Female-only (including Supernumerary),49,50,,,CRL,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN,CRL,HS,Female-only (including Supernumerary),49,50,,,CRL,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN,CRL,HS,Female-only (including Supernumerary),49,50,,,CRL,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN,CRL,HS,Gender-Neutral,2,318,,,CRL,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN,CRL,HS,Gender-Neutral,2,486,,,CRL,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN,CRL,HS,Gender-Neutral,2,486,,,CRL,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN,CRL,HS,Gender-Neutral,2,486,,,CRL,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN,CRL,HS,Gender-Neutral,2,486,,,CRL,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN (PwD),OPEN-PwD rank,HS,Gender-Neutral,115,115,,,OPEN-PwD rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN (PwD),OPEN-PwD rank,HS,Gender-Neutral,115,115,,,OPEN-PwD rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN (PwD),OPEN-PwD rank,HS,Gender-Neutral,115,115,,,OPEN-PwD rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN (PwD),OPEN-PwD rank,HS,Gender-Neutral,115,115,,,OPEN-PwD rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,OPEN (PwD),OPEN-PwD rank,HS,Gender-Neutral,115,115,,,OPEN-PwD rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,SC,SC category rank,HS,Female-only (including Supernumerary),17,17,,,SC category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,SC,SC category rank,HS,Female-only (including Supernumerary),17,17,,,SC category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,SC,SC category rank,HS,Female-only (including Supernumerary),17,17,,,SC category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,SC,SC category rank,HS,Female-only (including Supernumerary),17,17,,,SC category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,SC,SC category rank,HS,Female-only (including Supernumerary),17,17,,,SC category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,SC,SC category rank,HS,Gender-Neutral,186,299,,,SC category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,SC,SC category rank,HS,Gender-Neutral,186,299,,,SC category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,SC,SC category rank,HS,Gender-Neutral,186,299,,,SC category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,SC,SC category rank,HS,Gender-Neutral,186,299,,,SC category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,SC,SC category rank,HS,Gender-Neutral,186,299,,,SC category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,ST,ST category rank,HS,Gender-Neutral,266,302,,,ST category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,ST,ST category rank,HS,Gender-Neutral,302,376,,,ST category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,ST,ST category rank,HS,Gender-Neutral,302,376,,,ST category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,ST,ST category rank,HS,Gender-Neutral,302,492,,,ST category rank,SRC003,
"National Institute of Technology, Tiruchirappalli",226,2024,JoSAA,5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",ARCH,ST,ST category rank,HS,Gender-Neutral,302,492,,,ST category rank,SRC003,
