college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,ST,JEE Advanced ST category rank,AI,Female-only (including Supernumerary),649,649,,,JEE Advanced ST category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,ST,JEE Advanced ST category rank,AI,Gender-Neutral,384,493,,,JEE Advanced ST category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,EWS,JEE Advanced EWS category rank,AI,Female-only (including Supernumerary),1592,1592,,,JEE Advanced EWS category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,EWS,JEE Advanced EWS category rank,AI,Gender-Neutral,553,709,,,JEE Advanced EWS category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,OBC-NCL,JEE Advanced OBC-NCL category rank,AI,Female-only (including Supernumerary),4193,4299,,,JEE Advanced OBC-NCL category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,OBC-NCL,JEE Advanced OBC-NCL category rank,AI,Gender-Neutral,1470,1986,,,JEE Advanced OBC-NCL category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,OPEN,JEE Advanced CRL,AI,Female-only (including Supernumerary),6008,7173,,,JEE Advanced CRL,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,OPEN,JEE Advanced CRL,AI,Gender-Neutral,2463,3996,,,JEE Advanced CRL,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,SC,JEE Advanced SC category rank,AI,Female-only (including Supernumerary),1926,2061,,,JEE Advanced SC category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,SC,JEE Advanced SC category rank,AI,Gender-Neutral,700,1058,,,JEE Advanced SC category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,ST,JEE Advanced ST category rank,AI,Female-only (including Supernumerary),808,808,,,JEE Advanced ST category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,ST,JEE Advanced ST category rank,AI,Gender-Neutral,438,705,,,JEE Advanced ST category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,EWS,JEE Advanced EWS category rank,AI,Female-only (including Supernumerary),1541,1972,,,JEE Advanced EWS category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,EWS,JEE Advanced EWS category rank,AI,Gender-Neutral,542,670,,,JEE Advanced EWS category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OBC-NCL,JEE Advanced OBC-NCL category rank,AI,Female-only (including Supernumerary),2205,4492,,,JEE Advanced OBC-NCL category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OBC-NCL,JEE Advanced OBC-NCL category rank,AI,Gender-Neutral,911,1921,,,JEE Advanced OBC-NCL category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN,JEE Advanced CRL,AI,Female-only (including Supernumerary),7402,8893,,,JEE Advanced CRL,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN,JEE Advanced CRL,AI,Gender-Neutral,2867,4237,,,JEE Advanced CRL,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN (PwD),JEE Advanced CRL-PwD,AI,Gender-Neutral,170,170,,,JEE Advanced CRL-PwD,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,SC,JEE Advanced SC category rank,AI,Female-only (including Supernumerary),1314,1523,,,JEE Advanced SC category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,SC,JEE Advanced SC category rank,AI,Gender-Neutral,459,842,,,JEE Advanced SC category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,ST,JEE Advanced ST category rank,AI,Female-only (including Supernumerary),179,868,,,JEE Advanced ST category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,ST,JEE Advanced ST category rank,AI,Gender-Neutral,60,214,,,JEE Advanced ST category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,JEE Advanced EWS category rank,AI,Female-only (including Supernumerary),97,117,,,JEE Advanced EWS category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,JEE Advanced EWS category rank,AI,Gender-Neutral,8,34,,,JEE Advanced EWS category rank,S001,
