college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,5512,8305,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,5512,8305,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,5512,8445,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,424,426,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,426,1277,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,426,1398,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,426,1398,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,1398,1399,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN,CRL,All India,Female-only (including Supernumerary),21302,27879,,,CRL,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN,CRL,All India,Female-only (including Supernumerary),21664,29844,,,CRL,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN,CRL,All India,Female-only (including Supernumerary),21664,29844,,,CRL,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN,CRL,All India,Female-only (including Supernumerary),21664,29844,,,CRL,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN,CRL,All India,Female-only (including Supernumerary),26461,30584,,,CRL,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN,CRL,All India,Gender-Neutral,5048,18183,,,CRL,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN,CRL,All India,Gender-Neutral,8568,18885,,,CRL,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN,CRL,All India,Gender-Neutral,8568,18974,,,CRL,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN,CRL,All India,Gender-Neutral,8568,19084,,,CRL,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN,CRL,All India,Gender-Neutral,8898,20821,,,CRL,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN (PwD),CRL-PwD,All India,Female-only (including Supernumerary),1348,1348,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN (PwD),CRL-PwD,All India,Female-only (including Supernumerary),2453,2453,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN (PwD),CRL-PwD,All India,Female-only (including Supernumerary),2453,2453,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN (PwD),CRL-PwD,All India,Female-only (including Supernumerary),2453,2453,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN (PwD),CRL-PwD,All India,Female-only (including Supernumerary),2453,2453,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,570,915,,,CRL-PwD,SRC003,
